expense_id,store_id,expense_date,expense_type,description,amount
96,4,2026-05-15,Maintenance,Routine maintenance,730.56
97,5,2026-05-01,Rent,Rent expense,19817.66
98,5,2026-05-01,Utilities,Utilities expense,2893.8
99,5,2026-05-01,Payroll,Payroll expense,17137.45
100,5,2026-05-15,Maintenance,Routine maintenance,1659.55
101,1,2026-06-01,Rent,Rent expense,12353.77
102,1,2026-06-01,Utilities,Utilities expense,3248.17
103,1,2026-06-01,Payroll,Payroll expense,22812.86
104,1,2026-06-15,Maintenance,Routine maintenance,696.58
105,2,2026-06-01,Rent,Rent expense,15101.7
106,2,2026-06-01,Utilities,Utilities expense,3901.61
107,2,2026-06-01,Payroll,Payroll expense,24889.91
108,2,2026-06-15,Maintenance,Routine maintenance,1374.49
109,3,2026-06-01,Rent,Rent expense,9646.43
110,3,2026-06-01,Utilities,Utilities expense,2809.37
111,3,2026-06-01,Payroll,Payroll expense,19875.99
112,3,2026-06-15,Maintenance,Routine maintenance,1594.67
113,4,2026-06-01,Rent,Rent expense,17762.98
114,4,2026-06-01,Utilities,Utilities expense,2923.83
115,4,2026-06-01,Payroll,Payroll expense,18880.33
116,4,2026-06-15,Maintenance,Routine maintenance,655.79
117,5,2026-06-01,Rent,Rent expense,19237.34
118,5,2026-06-01,Utilities,Utilities expense,2768.32
119,5,2026-06-01,Payroll,Payroll expense,17374.45
120,5,2026-06-15,Maintenance,Routine maintenance,1320.2
121,1,2026-07-01,Rent,Rent expense,11844.6
122,1,2026-07-01,Utilities,Utilities expense,3320.2
123,1,2026-07-01,Payroll,Payroll expense,22700.34
124,1,2026-07-15,Maintenance,Routine maintenance,922.07
125,2,2026-07-01,Rent,Rent expense,13871.56
126,2,2026-07-01,Utilities,Utilities expense,3622.44
127,2,2026-07-01,Payroll,Payroll expense,25303.93
128,2,2026-07-15,Maintenance,Routine maintenance,1493.15
129,3,2026-07-01,Rent,Rent expense,9083.14
130,3,2026-07-01,Utilities,Utilities expense,2862.39
131,3,2026-07-01,Payroll,Payroll expense,19329.76
132,3,2026-07-15,Maintenance,Routine maintenance,1780.57
133,4,2026-07-01,Rent,Rent expense,16972.6
134,4,2026-07-01,Utilities,Utilities expense,3084.5
135,4,2026-07-01,Payroll,Payroll expense,18390.74
136,4,2026-07-15,Maintenance,Routine maintenance,859.12
137,5,2026-07-01,Rent,Rent expense,18380.36
138,5,2026-07-01,Utilities,Utilities expense,3000.63
139,5,2026-07-01,Payroll,Payroll expense,16955.39
140,5,2026-07-15,Maintenance,Routine maintenance,1763.37
