adjustment_id,store_id,product_id,employee_id,adjustment_date,adjustment_type,quantity_adjusted,adjustment_notes
66,3,204,47,2026-07-15 14:00:00,Correction,-3,Inventory review
67,5,206,88,2026-07-15 14:00:00,Spoilage,-5,Inventory review
68,3,52,58,2026-07-15 14:00:00,Spoilage,-3,Inventory review
69,5,132,93,2026-07-15 14:00:00,Correction,-5,Inventory review
70,2,226,23,2026-07-15 14:00:00,Correction,-5,Inventory review
71,2,148,38,2026-07-15 14:00:00,Damage,-4,Inventory review
72,3,240,62,2026-07-15 14:00:00,Correction,-4,Inventory review
73,5,187,80,2026-07-15 14:00:00,Correction,-2,Inventory review
74,3,119,49,2026-07-15 14:00:00,Damage,-2,Inventory review
75,3,217,58,2026-07-15 14:00:00,Spoilage,-3,Inventory review
76,1,163,7,2026-07-15 14:00:00,Spoilage,-3,Inventory review
77,3,166,50,2026-07-15 14:00:00,Spoilage,-5,Inventory review
78,2,104,30,2026-07-15 14:00:00,Damage,-2,Inventory review
79,2,8,30,2026-07-15 14:00:00,Spoilage,-4,Inventory review
80,4,144,76,2026-07-15 14:00:00,Spoilage,-1,Inventory review
81,2,41,31,2026-07-15 14:00:00,Damage,-1,Inventory review
82,3,203,53,2026-07-15 14:00:00,Correction,-5,Inventory review
83,2,165,24,2026-07-15 14:00:00,Correction,-4,Inventory review
84,1,15,3,2026-07-15 14:00:00,Spoilage,-5,Inventory review
85,3,222,47,2026-07-15 14:00:00,Spoilage,-3,Inventory review
86,1,102,5,2026-07-15 14:00:00,Damage,-1,Inventory review
87,5,189,82,2026-07-15 14:00:00,Correction,-5,Inventory review
88,5,65,94,2026-07-15 14:00:00,Damage,-2,Inventory review
89,5,32,89,2026-07-15 14:00:00,Spoilage,-5,Inventory review
90,4,207,70,2026-07-15 14:00:00,Spoilage,-2,Inventory review
91,2,28,28,2026-07-15 14:00:00,Damage,-3,Inventory review
92,4,105,71,2026-07-15 14:00:00,Correction,-1,Inventory review
93,4,137,74,2026-07-15 14:00:00,Correction,-1,Inventory review
94,3,140,58,2026-07-15 14:00:00,Spoilage,-2,Inventory review
95,3,226,49,2026-07-15 14:00:00,Spoilage,-4,Inventory review
96,3,211,54,2026-07-15 14:00:00,Damage,-5,Inventory review
97,1,216,22,2026-07-15 14:00:00,Damage,-2,Inventory review
98,3,142,57,2026-07-15 14:00:00,Spoilage,-3,Inventory review
99,1,137,8,2026-07-15 14:00:00,Spoilage,-4,Inventory review
100,1,233,13,2026-07-15 14:00:00,Spoilage,-3,Inventory review
101,1,240,8,2026-07-15 14:00:00,Spoilage,-2,Inventory review
102,2,235,37,2026-07-15 14:00:00,Correction,-3,Inventory review
103,4,203,64,2026-07-15 14:00:00,Spoilage,-1,Inventory review
104,4,121,76,2026-07-15 14:00:00,Spoilage,-4,Inventory review
105,1,212,6,2026-07-15 14:00:00,Correction,-3,Inventory review
106,5,17,90,2026-07-15 14:00:00,Spoilage,-5,Inventory review
107,5,189,89,2026-07-15 14:00:00,Spoilage,-1,Inventory review
108,1,165,21,2026-07-15 14:00:00,Damage,-4,Inventory review
109,2,1,35,2026-07-15 14:00:00,Damage,-3,Inventory review
110,3,148,47,2026-07-15 14:00:00,Damage,-2,Inventory review
111,2,133,43,2026-07-15 14:00:00,Damage,-5,Inventory review
112,4,203,73,2026-07-15 14:00:00,Spoilage,-4,Inventory review
113,2,67,28,2026-07-15 14:00:00,Correction,-5,Inventory review
114,3,205,54,2026-07-15 14:00:00,Damage,-1,Inventory review
115,4,95,68,2026-07-15 14:00:00,Spoilage,-4,Inventory review
116,5,58,79,2026-07-15 14:00:00,Damage,-5,Inventory review
117,5,161,86,2026-07-15 14:00:00,Damage,-4,Inventory review
118,2,68,28,2026-07-15 14:00:00,Damage,-4,Inventory review
119,5,110,87,2026-07-15 14:00:00,Damage,-1,Inventory review
120,3,44,48,2026-07-15 14:00:00,Damage,-5,Inventory review
121,4,198,77,2026-07-15 14:00:00,Correction,-4,Inventory review
122,1,58,7,2026-07-15 14:00:00,Damage,-3,Inventory review
123,3,192,60,2026-07-15 14:00:00,Spoilage,-2,Inventory review
124,4,220,69,2026-07-15 14:00:00,Correction,-2,Inventory review
125,3,187,51,2026-07-15 14:00:00,Spoilage,-2,Inventory review
126,4,203,67,2026-07-15 14:00:00,Damage,-3,Inventory review
127,3,61,59,2026-07-15 14:00:00,Damage,-3,Inventory review
128,5,176,93,2026-07-15 14:00:00,Damage,-1,Inventory review
129,4,35,73,2026-07-15 14:00:00,Correction,-4,Inventory review
130,2,183,35,2026-07-15 14:00:00,Correction,-4,Inventory review
131,5,66,81,2026-07-15 14:00:00,Damage,-5,Inventory review
132,1,14,11,2026-07-15 14:00:00,Damage,-4,Inventory review
133,3,156,46,2026-07-15 14:00:00,Damage,-3,Inventory review
134,5,159,91,2026-07-15 14:00:00,Spoilage,-4,Inventory review
135,3,34,62,2026-07-15 14:00:00,Damage,-5,Inventory review
136,2,67,28,2026-07-15 14:00:00,Correction,-4,Inventory review
137,3,225,59,2026-07-15 14:00:00,Damage,-1,Inventory review
138,3,182,61,2026-07-15 14:00:00,Spoilage,-2,Inventory review
139,3,30,55,2026-07-15 14:00:00,Damage,-2,Inventory review
140,4,224,71,2026-07-15 14:00:00,Correction,-3,Inventory review
141,4,73,71,2026-07-15 14:00:00,Correction,-3,Inventory review
142,5,81,92,2026-07-15 14:00:00,Damage,-3,Inventory review
143,4,196,67,2026-07-15 14:00:00,Correction,-4,Inventory review
144,1,49,5,2026-07-15 14:00:00,Damage,-2,Inventory review
145,2,10,38,2026-07-15 14:00:00,Spoilage,-2,Inventory review
146,4,112,66,2026-07-15 14:00:00,Spoilage,-1,Inventory review
147,4,92,78,2026-07-15 14:00:00,Spoilage,-4,Inventory review
148,1,217,5,2026-07-15 14:00:00,Damage,-3,Inventory review
149,1,53,10,2026-07-15 14:00:00,Damage,-2,Inventory review
150,5,211,87,2026-07-15 14:00:00,Correction,-5,Inventory review
151,2,150,23,2026-07-15 14:00:00,Correction,-5,Inventory review
152,2,107,25,2026-07-15 14:00:00,Damage,-4,Inventory review
153,1,228,11,2026-07-15 14:00:00,Damage,-3,Inventory review
154,1,101,12,2026-07-15 14:00:00,Correction,-1,Inventory review
155,3,40,45,2026-07-15 14:00:00,Damage,-4,Inventory review
156,4,117,71,2026-07-15 14:00:00,Correction,-1,Inventory review
157,3,249,46,2026-07-15 14:00:00,Correction,-5,Inventory review
158,4,84,67,2026-07-15 14:00:00,Damage,-1,Inventory review
159,3,83,46,2026-07-15 14:00:00,Correction,-1,Inventory review
160,5,244,91,2026-07-15 14:00:00,Damage,-4,Inventory review
161,3,46,52,2026-07-15 14:00:00,Spoilage,-1,Inventory review
162,1,219,7,2026-07-15 14:00:00,Damage,-4,Inventory review
163,4,73,67,2026-07-15 14:00:00,Damage,-3,Inventory review
164,4,206,76,2026-07-15 14:00:00,Correction,-3,Inventory review
165,5,34,90,2026-07-15 14:00:00,Correction,-1,Inventory review
166,3,132,51,2026-07-15 14:00:00,Spoilage,-4,Inventory review
167,4,122,71,2026-07-15 14:00:00,Correction,-5,Inventory review
168,4,24,76,2026-07-15 14:00:00,Spoilage,-5,Inventory review
169,2,112,43,2026-07-15 14:00:00,Spoilage,-1,Inventory review
170,1,132,11,2026-07-15 14:00:00,Spoilage,-2,Inventory review
171,2,239,38,2026-07-15 14:00:00,Correction,-5,Inventory review
172,1,75,15,2026-07-15 14:00:00,Spoilage,-1,Inventory review
173,4,77,67,2026-07-15 14:00:00,Damage,-3,Inventory review
174,2,134,36,2026-07-15 14:00:00,Spoilage,-5,Inventory review
175,1,142,3,2026-07-15 14:00:00,Damage,-5,Inventory review
176,1,131,14,2026-07-15 14:00:00,Spoilage,-1,Inventory review
177,4,170,71,2026-07-15 14:00:00,Spoilage,-3,Inventory review
178,5,21,79,2026-07-15 14:00:00,Damage,-4,Inventory review
179,2,202,28,2026-07-15 14:00:00,Spoilage,-1,Inventory review
180,1,107,10,2026-07-15 14:00:00,Spoilage,-5,Inventory review
181,4,194,77,2026-07-15 14:00:00,Correction,-3,Inventory review
182,3,248,50,2026-07-15 14:00:00,Damage,-2,Inventory review
183,1,192,20,2026-07-15 14:00:00,Spoilage,-1,Inventory review
184,4,137,63,2026-07-15 14:00:00,Damage,-4,Inventory review
185,1,4,6,2026-07-15 14:00:00,Correction,-4,Inventory review
186,4,178,75,2026-07-15 14:00:00,Correction,-5,Inventory review
187,4,78,74,2026-07-15 14:00:00,Correction,-4,Inventory review
188,3,23,49,2026-07-15 14:00:00,Damage,-1,Inventory review
189,2,29,23,2026-07-15 14:00:00,Correction,-2,Inventory review
190,1,54,16,2026-07-15 14:00:00,Correction,-2,Inventory review
191,2,112,43,2026-07-15 14:00:00,Correction,-2,Inventory review
192,1,78,15,2026-07-15 14:00:00,Damage,-4,Inventory review
193,4,6,66,2026-07-15 14:00:00,Damage,-2,Inventory review
194,4,247,78,2026-07-15 14:00:00,Spoilage,-1,Inventory review
195,4,150,70,2026-07-15 14:00:00,Damage,-3,Inventory review
196,5,213,91,2026-07-15 14:00:00,Damage,-3,Inventory review
197,1,27,21,2026-07-15 14:00:00,Correction,-4,Inventory review
198,4,218,78,2026-07-15 14:00:00,Correction,-5,Inventory review
199,5,188,88,2026-07-15 14:00:00,Damage,-4,Inventory review
200,4,125,78,2026-07-15 14:00:00,Damage,-1,Inventory review
201,5,5,92,2026-07-15 14:00:00,Correction,-3,Inventory review
202,5,17,87,2026-07-15 14:00:00,Correction,-4,Inventory review
203,4,30,78,2026-07-15 14:00:00,Correction,-3,Inventory review
204,4,179,76,2026-07-15 14:00:00,Damage,-2,Inventory review
205,3,186,51,2026-07-15 14:00:00,Spoilage,-3,Inventory review
206,4,60,70,2026-07-15 14:00:00,Correction,-3,Inventory review
207,5,219,93,2026-07-15 14:00:00,Damage,-3,Inventory review
208,4,246,76,2026-07-15 14:00:00,Correction,-3,Inventory review
209,4,205,68,2026-07-15 14:00:00,Correction,-2,Inventory review
210,3,177,47,2026-07-15 14:00:00,Correction,-4,Inventory review
211,2,45,29,2026-07-15 14:00:00,Damage,-5,Inventory review
212,4,26,76,2026-07-15 14:00:00,Spoilage,-3,Inventory review
213,2,54,40,2026-07-15 14:00:00,Damage,-1,Inventory review
214,3,226,53,2026-07-15 14:00:00,Spoilage,-2,Inventory review
215,2,212,39,2026-07-15 14:00:00,Damage,-1,Inventory review
216,3,111,48,2026-07-15 14:00:00,Correction,-2,Inventory review
217,1,144,8,2026-07-15 14:00:00,Spoilage,-3,Inventory review
218,3,201,56,2026-07-15 14:00:00,Damage,-5,Inventory review
219,3,230,49,2026-07-15 14:00:00,Correction,-5,Inventory review
220,5,172,82,2026-07-15 14:00:00,Correction,-1,Inventory review
221,4,205,77,2026-07-15 14:00:00,Damage,-1,Inventory review
222,5,157,82,2026-07-15 14:00:00,Correction,-1,Inventory review
223,5,27,84,2026-07-15 14:00:00,Correction,-1,Inventory review
224,2,234,34,2026-07-15 14:00:00,Damage,-3,Inventory review
225,4,196,78,2026-07-15 14:00:00,Correction,-1,Inventory review
226,2,166,34,2026-07-15 14:00:00,Spoilage,-2,Inventory review
227,1,218,7,2026-07-15 14:00:00,Spoilage,-4,Inventory review
228,1,63,16,2026-07-15 14:00:00,Spoilage,-3,Inventory review
229,5,44,81,2026-07-15 14:00:00,Spoilage,-3,Inventory review
230,4,93,70,2026-07-15 14:00:00,Damage,-5,Inventory review
231,4,202,70,2026-07-15 14:00:00,Damage,-4,Inventory review
232,4,236,76,2026-07-15 14:00:00,Spoilage,-5,Inventory review
233,3,242,45,2026-07-15 14:00:00,Spoilage,-2,Inventory review
234,1,184,17,2026-07-15 14:00:00,Damage,-1,Inventory review
235,3,81,57,2026-07-15 14:00:00,Damage,-4,Inventory review
236,1,101,2,2026-07-15 14:00:00,Correction,-2,Inventory review
237,5,15,88,2026-07-15 14:00:00,Spoilage,-4,Inventory review
238,5,224,88,2026-07-15 14:00:00,Correction,-3,Inventory review
239,3,3,53,2026-07-15 14:00:00,Correction,-5,Inventory review
240,2,180,35,2026-07-15 14:00:00,Spoilage,-2,Inventory review
241,5,160,93,2026-07-15 14:00:00,Correction,-3,Inventory review
242,4,199,69,2026-07-15 14:00:00,Spoilage,-1,Inventory review
243,1,138,11,2026-07-15 14:00:00,Spoilage,-2,Inventory review
244,5,139,88,2026-07-15 14:00:00,Damage,-1,Inventory review
245,5,142,88,2026-07-15 14:00:00,Correction,-3,Inventory review
246,2,6,23,2026-07-15 14:00:00,Correction,-5,Inventory review
247,3,62,54,2026-07-15 14:00:00,Correction,-4,Inventory review
248,5,29,80,2026-07-15 14:00:00,Spoilage,-3,Inventory review
249,5,91,82,2026-07-15 14:00:00,Damage,-1,Inventory review
250,4,77,63,2026-07-15 14:00:00,Spoilage,-3,Inventory review
251,2,207,41,2026-07-15 14:00:00,Correction,-5,Inventory review
252,5,60,90,2026-07-15 14:00:00,Spoilage,-3,Inventory review
253,5,173,83,2026-07-15 14:00:00,Correction,-4,Inventory review
254,5,189,86,2026-07-15 14:00:00,Damage,-3,Inventory review
255,5,150,85,2026-07-15 14:00:00,Spoilage,-4,Inventory review
256,1,38,14,2026-07-15 14:00:00,Spoilage,-1,Inventory review
257,1,16,14,2026-07-15 14:00:00,Damage,-4,Inventory review
258,2,115,25,2026-07-15 14:00:00,Spoilage,-5,Inventory review
259,4,151,75,2026-07-15 14:00:00,Spoilage,-5,Inventory review
260,4,163,76,2026-07-15 14:00:00,Spoilage,-4,Inventory review
261,4,211,68,2026-07-15 14:00:00,Damage,-5,Inventory review
262,2,125,37,2026-07-15 14:00:00,Damage,-5,Inventory review
263,5,31,85,2026-07-15 14:00:00,Spoilage,-4,Inventory review
264,1,192,6,2026-07-15 14:00:00,Correction,-3,Inventory review
265,1,155,14,2026-07-15 14:00:00,Damage,-1,Inventory review
266,3,147,54,2026-07-15 14:00:00,Damage,-5,Inventory review
267,2,31,34,2026-07-15 14:00:00,Spoilage,-3,Inventory review
268,3,76,60,2026-07-15 14:00:00,Damage,-2,Inventory review
269,2,201,41,2026-07-15 14:00:00,Spoilage,-1,Inventory review
270,3,228,54,2026-07-15 14:00:00,Damage,-2,Inventory review
271,4,1,66,2026-07-15 14:00:00,Correction,-3,Inventory review
272,1,223,2,2026-07-15 14:00:00,Spoilage,-4,Inventory review
273,5,80,93,2026-07-15 14:00:00,Spoilage,-4,Inventory review
274,4,214,67,2026-07-15 14:00:00,Damage,-5,Inventory review
275,4,195,77,2026-07-15 14:00:00,Correction,-4,Inventory review
276,2,222,33,2026-07-15 14:00:00,Damage,-5,Inventory review
277,5,105,91,2026-07-15 14:00:00,Damage,-4,Inventory review
278,3,139,46,2026-07-15 14:00:00,Correction,-4,Inventory review
279,3,166,47,2026-07-15 14:00:00,Damage,-1,Inventory review
280,5,162,88,2026-07-15 14:00:00,Correction,-1,Inventory review
281,5,22,85,2026-07-15 14:00:00,Correction,-5,Inventory review
282,5,194,80,2026-07-15 14:00:00,Correction,-5,Inventory review
283,2,193,38,2026-07-15 14:00:00,Correction,-1,Inventory review
284,1,169,18,2026-07-15 14:00:00,Damage,-1,Inventory review
285,3,202,51,2026-07-15 14:00:00,Damage,-5,Inventory review
286,4,22,73,2026-07-15 14:00:00,Spoilage,-5,Inventory review
287,1,126,1,2026-07-15 14:00:00,Spoilage,-4,Inventory review
288,2,107,23,2026-07-15 14:00:00,Correction,-3,Inventory review
289,4,66,65,2026-07-15 14:00:00,Damage,-1,Inventory review
290,5,44,88,2026-07-15 14:00:00,Damage,-2,Inventory review
291,3,197,47,2026-07-15 14:00:00,Damage,-3,Inventory review
292,4,174,68,2026-07-15 14:00:00,Damage,-5,Inventory review
293,3,47,45,2026-07-15 14:00:00,Correction,-1,Inventory review
294,3,100,48,2026-07-15 14:00:00,Spoilage,-2,Inventory review
295,4,229,73,2026-07-15 14:00:00,Spoilage,-4,Inventory review
296,1,14,7,2026-07-15 14:00:00,Damage,-5,Inventory review
297,5,61,94,2026-07-15 14:00:00,Correction,-5,Inventory review
298,4,244,66,2026-07-15 14:00:00,Spoilage,-1,Inventory review
299,3,119,62,2026-07-15 14:00:00,Spoilage,-1,Inventory review
300,4,8,76,2026-07-15 14:00:00,Correction,-2,Inventory review
301,1,69,18,2026-07-15 14:00:00,Correction,-1,Inventory review
302,2,196,40,2026-07-15 14:00:00,Correction,-2,Inventory review
303,3,146,58,2026-07-15 14:00:00,Spoilage,-1,Inventory review
304,5,53,83,2026-07-15 14:00:00,Spoilage,-5,Inventory review
305,2,201,30,2026-07-15 14:00:00,Correction,-4,Inventory review
306,5,116,80,2026-07-15 14:00:00,Damage,-4,Inventory review
307,5,75,84,2026-07-15 14:00:00,Damage,-1,Inventory review
308,4,70,71,2026-07-15 14:00:00,Correction,-4,Inventory review
309,3,216,51,2026-07-15 14:00:00,Correction,-5,Inventory review
310,3,12,50,2026-07-15 14:00:00,Correction,-5,Inventory review
311,5,18,88,2026-07-15 14:00:00,Damage,-4,Inventory review
312,1,213,5,2026-07-15 14:00:00,Correction,-5,Inventory review
313,3,225,58,2026-07-15 14:00:00,Damage,-5,Inventory review
314,5,246,89,2026-07-15 14:00:00,Correction,-3,Inventory review
315,3,193,59,2026-07-15 14:00:00,Spoilage,-2,Inventory review
316,3,88,51,2026-07-15 14:00:00,Spoilage,-5,Inventory review
317,3,5,49,2026-07-15 14:00:00,Correction,-1,Inventory review
318,5,122,79,2026-07-15 14:00:00,Damage,-2,Inventory review
319,4,143,78,2026-07-15 14:00:00,Spoilage,-5,Inventory review
320,1,202,21,2026-07-15 14:00:00,Correction,-1,Inventory review
321,5,8,93,2026-07-15 14:00:00,Correction,-1,Inventory review
322,3,249,57,2026-07-15 14:00:00,Correction,-3,Inventory review
323,4,46,63,2026-07-15 14:00:00,Damage,-4,Inventory review
324,3,240,51,2026-07-15 14:00:00,Spoilage,-1,Inventory review
325,2,191,23,2026-07-15 14:00:00,Spoilage,-3,Inventory review
326,2,24,42,2026-07-15 14:00:00,Correction,-3,Inventory review
327,2,60,38,2026-07-15 14:00:00,Spoilage,-1,Inventory review
328,3,127,51,2026-07-15 14:00:00,Damage,-2,Inventory review
329,4,29,71,2026-07-15 14:00:00,Correction,-5,Inventory review
330,4,44,69,2026-07-15 14:00:00,Correction,-5,Inventory review
331,5,145,84,2026-07-15 14:00:00,Damage,-5,Inventory review
332,2,191,25,2026-07-15 14:00:00,Damage,-3,Inventory review
333,5,220,86,2026-07-15 14:00:00,Correction,-3,Inventory review
334,2,218,44,2026-07-15 14:00:00,Damage,-5,Inventory review
335,5,65,93,2026-07-15 14:00:00,Damage,-4,Inventory review
336,1,219,11,2026-07-15 14:00:00,Spoilage,-4,Inventory review
337,3,32,61,2026-07-15 14:00:00,Spoilage,-4,Inventory review
338,3,133,46,2026-07-15 14:00:00,Correction,-2,Inventory review
339,1,72,14,2026-07-15 14:00:00,Correction,-4,Inventory review
340,3,2,57,2026-07-15 14:00:00,Damage,-3,Inventory review
341,1,226,19,2026-07-15 14:00:00,Damage,-2,Inventory review
342,4,246,65,2026-07-15 14:00:00,Damage,-2,Inventory review
343,2,85,32,2026-07-15 14:00:00,Damage,-1,Inventory review
344,1,123,14,2026-07-15 14:00:00,Damage,-5,Inventory review
345,3,216,53,2026-07-15 14:00:00,Damage,-1,Inventory review
346,4,62,73,2026-07-15 14:00:00,Damage,-3,Inventory review
347,5,204,86,2026-07-15 14:00:00,Damage,-5,Inventory review
348,5,113,82,2026-07-15 14:00:00,Correction,-4,Inventory review
349,5,32,81,2026-07-15 14:00:00,Damage,-1,Inventory review
350,4,81,65,2026-07-15 14:00:00,Damage,-1,Inventory review
