inventory_id,store_id,product_id,quantity_on_hand,reorder_level,aisle_number,shelf_number,last_updated
54,1,54,127,20,A6,3,2026-08-01 08:00:00
55,1,55,128,20,A3,3,2026-08-01 08:00:00
56,1,56,171,20,A6,2,2026-08-01 08:00:00
57,1,57,159,20,A8,2,2026-08-01 08:00:00
58,1,58,76,20,A5,4,2026-08-01 08:00:00
59,1,59,147,20,A3,3,2026-08-01 08:00:00
60,1,60,120,20,A3,4,2026-08-01 08:00:00
61,1,61,171,20,A5,4,2026-08-01 08:00:00
62,1,62,45,20,A7,5,2026-08-01 08:00:00
63,1,63,157,20,A4,5,2026-08-01 08:00:00
64,1,64,130,20,A5,4,2026-08-01 08:00:00
65,1,65,160,20,A1,1,2026-08-01 08:00:00
66,1,66,150,20,A5,3,2026-08-01 08:00:00
67,1,67,143,20,A7,1,2026-08-01 08:00:00
68,1,68,7,20,A5,1,2026-08-01 08:00:00
69,1,69,138,20,A5,5,2026-08-01 08:00:00
70,1,70,70,20,A2,4,2026-08-01 08:00:00
71,1,71,135,20,A6,5,2026-08-01 08:00:00
72,1,72,133,20,A4,5,2026-08-01 08:00:00
73,1,73,170,20,A1,1,2026-08-01 08:00:00
74,1,74,49,20,A6,4,2026-08-01 08:00:00
75,1,75,172,20,A3,3,2026-08-01 08:00:00
76,1,76,121,20,A5,5,2026-08-01 08:00:00
77,1,77,126,20,A8,5,2026-08-01 08:00:00
78,1,78,116,20,A1,3,2026-08-01 08:00:00
79,1,79,124,20,A7,5,2026-08-01 08:00:00
80,1,80,118,20,A1,5,2026-08-01 08:00:00
81,1,81,161,20,A4,1,2026-08-01 08:00:00
82,1,82,162,20,A7,2,2026-08-01 08:00:00
83,1,83,13,20,A2,2,2026-08-01 08:00:00
84,1,84,44,20,A7,2,2026-08-01 08:00:00
85,1,85,13,20,A4,4,2026-08-01 08:00:00
86,1,86,168,20,A8,1,2026-08-01 08:00:00
87,1,87,75,20,A6,4,2026-08-01 08:00:00
88,1,88,174,20,A3,4,2026-08-01 08:00:00
89,1,89,176,20,A6,3,2026-08-01 08:00:00
90,1,90,163,20,A4,3,2026-08-01 08:00:00
91,1,91,116,20,A5,3,2026-08-01 08:00:00
92,1,92,93,20,A8,3,2026-08-01 08:00:00
93,1,93,162,20,A5,3,2026-08-01 08:00:00
94,1,94,71,20,A7,4,2026-08-01 08:00:00
95,1,95,128,20,A3,3,2026-08-01 08:00:00
96,1,96,50,20,A2,3,2026-08-01 08:00:00
97,1,97,153,20,A8,2,2026-08-01 08:00:00
98,1,98,91,20,A5,5,2026-08-01 08:00:00
99,1,99,109,20,A4,2,2026-08-01 08:00:00
100,1,100,52,20,A4,2,2026-08-01 08:00:00
101,1,101,53,20,A6,4,2026-08-01 08:00:00
102,1,102,12,20,A3,1,2026-08-01 08:00:00
103,1,103,180,20,A3,4,2026-08-01 08:00:00
104,1,104,161,20,A4,3,2026-08-01 08:00:00
105,1,105,122,20,A1,1,2026-08-01 08:00:00
106,1,106,99,20,A1,2,2026-08-01 08:00:00
107,1,107,146,20,A3,1,2026-08-01 08:00:00
108,1,108,141,20,A3,3,2026-08-01 08:00:00
109,1,109,11,20,A2,3,2026-08-01 08:00:00
110,1,110,112,20,A8,2,2026-08-01 08:00:00
111,1,111,169,20,A4,1,2026-08-01 08:00:00
112,1,112,124,20,A8,3,2026-08-01 08:00:00
113,1,113,7,20,A5,5,2026-08-01 08:00:00
114,1,114,89,20,A7,4,2026-08-01 08:00:00
115,1,115,171,20,A7,1,2026-08-01 08:00:00
116,1,116,87,20,A8,3,2026-08-01 08:00:00
117,1,117,8,20,A4,4,2026-08-01 08:00:00
118,1,118,108,20,A5,5,2026-08-01 08:00:00
119,1,119,6,20,A6,2,2026-08-01 08:00:00
120,1,120,55,20,A8,3,2026-08-01 08:00:00
121,1,121,80,20,A5,1,2026-08-01 08:00:00
122,1,122,115,20,A4,2,2026-08-01 08:00:00
123,1,123,74,20,A8,5,2026-08-01 08:00:00
124,1,124,135,20,A8,5,2026-08-01 08:00:00
125,1,125,95,20,A2,5,2026-08-01 08:00:00
126,1,126,154,20,A6,1,2026-08-01 08:00:00
127,1,127,68,20,A4,5,2026-08-01 08:00:00
128,1,128,177,20,A6,5,2026-08-01 08:00:00
129,1,129,153,20,A4,5,2026-08-01 08:00:00
130,1,130,165,20,A8,1,2026-08-01 08:00:00
131,1,131,156,20,A7,4,2026-08-01 08:00:00
132,1,132,54,20,A5,1,2026-08-01 08:00:00
133,1,133,141,20,A1,2,2026-08-01 08:00:00
134,1,134,58,20,A6,1,2026-08-01 08:00:00
135,1,135,178,20,A2,4,2026-08-01 08:00:00
136,1,136,6,20,A7,2,2026-08-01 08:00:00
137,1,137,74,20,A7,3,2026-08-01 08:00:00
138,1,138,137,20,A7,4,2026-08-01 08:00:00
139,1,139,60,20,A3,3,2026-08-01 08:00:00
140,1,140,70,20,A7,5,2026-08-01 08:00:00
141,1,141,72,20,A4,1,2026-08-01 08:00:00
142,1,142,45,20,A8,5,2026-08-01 08:00:00
143,1,143,148,20,A4,2,2026-08-01 08:00:00
144,1,144,157,20,A5,2,2026-08-01 08:00:00
145,1,145,12,20,A7,5,2026-08-01 08:00:00
146,1,146,44,20,A2,1,2026-08-01 08:00:00
147,1,147,48,20,A1,2,2026-08-01 08:00:00
148,1,148,51,20,A4,5,2026-08-01 08:00:00
149,1,149,95,20,A1,2,2026-08-01 08:00:00
150,1,150,168,20,A4,5,2026-08-01 08:00:00
151,1,151,121,20,A6,2,2026-08-01 08:00:00
152,1,152,117,20,A4,4,2026-08-01 08:00:00
153,1,153,6,20,A1,5,2026-08-01 08:00:00
154,1,154,84,20,A7,5,2026-08-01 08:00:00
155,1,155,166,20,A6,4,2026-08-01 08:00:00
156,1,156,174,20,A7,4,2026-08-01 08:00:00
157,1,157,78,20,A3,5,2026-08-01 08:00:00
158,1,158,161,20,A4,3,2026-08-01 08:00:00
159,1,159,76,20,A1,5,2026-08-01 08:00:00
160,1,160,145,20,A3,4,2026-08-01 08:00:00
161,1,161,102,20,A6,1,2026-08-01 08:00:00
162,1,162,155,20,A2,5,2026-08-01 08:00:00
163,1,163,88,20,A7,5,2026-08-01 08:00:00
164,1,164,50,20,A4,5,2026-08-01 08:00:00
165,1,165,95,20,A6,3,2026-08-01 08:00:00
166,1,166,43,20,A4,1,2026-08-01 08:00:00
167,1,167,162,20,A4,4,2026-08-01 08:00:00
168,1,168,101,20,A5,4,2026-08-01 08:00:00
169,1,169,159,20,A6,3,2026-08-01 08:00:00
170,1,170,7,20,A8,4,2026-08-01 08:00:00
171,1,171,65,20,A8,3,2026-08-01 08:00:00
172,1,172,92,20,A7,1,2026-08-01 08:00:00
173,1,173,96,20,A1,3,2026-08-01 08:00:00
174,1,174,146,20,A4,3,2026-08-01 08:00:00
175,1,175,98,20,A4,4,2026-08-01 08:00:00
176,1,176,180,20,A6,3,2026-08-01 08:00:00
177,1,177,165,20,A8,4,2026-08-01 08:00:00
178,1,178,83,20,A6,2,2026-08-01 08:00:00
179,1,179,75,20,A8,2,2026-08-01 08:00:00
180,1,180,178,20,A1,5,2026-08-01 08:00:00
181,1,181,48,20,A2,1,2026-08-01 08:00:00
182,1,182,41,20,A4,1,2026-08-01 08:00:00
183,1,183,10,20,A8,3,2026-08-01 08:00:00
184,1,184,55,20,A8,4,2026-08-01 08:00:00
185,1,185,10,20,A7,1,2026-08-01 08:00:00
186,1,186,44,20,A5,5,2026-08-01 08:00:00
187,1,187,2,20,A7,2,2026-08-01 08:00:00
188,1,188,67,20,A3,2,2026-08-01 08:00:00
189,1,189,89,20,A5,3,2026-08-01 08:00:00
190,1,190,108,20,A2,3,2026-08-01 08:00:00
191,1,191,143,20,A4,2,2026-08-01 08:00:00
192,1,192,116,20,A2,1,2026-08-01 08:00:00
193,1,193,63,20,A7,5,2026-08-01 08:00:00
194,1,194,161,20,A1,2,2026-08-01 08:00:00
195,1,195,61,20,A7,3,2026-08-01 08:00:00
196,1,196,64,20,A1,2,2026-08-01 08:00:00
197,1,197,94,20,A8,3,2026-08-01 08:00:00
198,1,198,51,20,A5,5,2026-08-01 08:00:00
199,1,199,48,20,A6,1,2026-08-01 08:00:00
200,1,200,93,20,A7,1,2026-08-01 08:00:00
201,1,201,116,20,A4,5,2026-08-01 08:00:00
202,1,202,139,20,A6,4,2026-08-01 08:00:00
203,1,203,75,20,A2,5,2026-08-01 08:00:00
204,1,204,2,20,A2,4,2026-08-01 08:00:00
205,1,205,99,20,A6,5,2026-08-01 08:00:00
206,1,206,141,20,A6,1,2026-08-01 08:00:00
207,1,207,109,20,A8,4,2026-08-01 08:00:00
208,1,208,98,20,A7,4,2026-08-01 08:00:00
209,1,209,87,20,A7,1,2026-08-01 08:00:00
210,1,210,115,20,A2,1,2026-08-01 08:00:00
211,1,211,108,20,A3,4,2026-08-01 08:00:00
212,1,212,121,20,A2,1,2026-08-01 08:00:00
213,1,213,118,20,A5,1,2026-08-01 08:00:00
214,1,214,73,20,A7,4,2026-08-01 08:00:00
215,1,215,171,20,A1,1,2026-08-01 08:00:00
216,1,216,130,20,A6,4,2026-08-01 08:00:00
217,1,217,43,20,A7,1,2026-08-01 08:00:00
218,1,218,102,20,A3,4,2026-08-01 08:00:00
219,1,219,83,20,A5,3,2026-08-01 08:00:00
220,1,220,166,20,A3,4,2026-08-01 08:00:00
221,1,221,8,20,A5,4,2026-08-01 08:00:00
222,1,222,59,20,A4,4,2026-08-01 08:00:00
223,1,223,90,20,A3,3,2026-08-01 08:00:00
224,1,224,41,20,A6,5,2026-08-01 08:00:00
225,1,225,137,20,A6,4,2026-08-01 08:00:00
226,1,226,125,20,A3,3,2026-08-01 08:00:00
227,1,227,122,20,A4,4,2026-08-01 08:00:00
228,1,228,120,20,A7,3,2026-08-01 08:00:00
229,1,229,114,20,A8,5,2026-08-01 08:00:00
230,1,230,102,20,A5,4,2026-08-01 08:00:00
231,1,231,133,20,A4,5,2026-08-01 08:00:00
232,1,232,179,20,A1,4,2026-08-01 08:00:00
233,1,233,93,20,A5,1,2026-08-01 08:00:00
234,1,234,144,20,A3,3,2026-08-01 08:00:00
235,1,235,101,20,A3,4,2026-08-01 08:00:00
236,1,236,136,20,A8,5,2026-08-01 08:00:00
237,1,237,142,20,A7,5,2026-08-01 08:00:00
238,1,238,14,20,A6,5,2026-08-01 08:00:00
239,1,239,61,20,A4,3,2026-08-01 08:00:00
240,1,240,82,20,A1,5,2026-08-01 08:00:00
241,1,241,142,20,A6,4,2026-08-01 08:00:00
242,1,242,6,20,A4,5,2026-08-01 08:00:00
243,1,243,172,20,A4,4,2026-08-01 08:00:00
244,1,244,135,20,A3,3,2026-08-01 08:00:00
245,1,245,46,20,A5,4,2026-08-01 08:00:00
246,1,246,61,20,A3,3,2026-08-01 08:00:00
247,1,247,119,20,A4,5,2026-08-01 08:00:00
248,1,248,163,20,A2,4,2026-08-01 08:00:00
249,1,249,155,20,A5,1,2026-08-01 08:00:00
250,1,250,7,20,A2,2,2026-08-01 08:00:00
251,2,1,102,20,A3,3,2026-08-01 08:00:00
252,2,2,149,20,A4,4,2026-08-01 08:00:00
253,2,3,87,20,A7,4,2026-08-01 08:00:00
254,2,4,47,20,A4,4,2026-08-01 08:00:00
255,2,5,149,20,A4,2,2026-08-01 08:00:00
256,2,6,111,20,A2,5,2026-08-01 08:00:00
257,2,7,66,20,A3,3,2026-08-01 08:00:00
258,2,8,123,20,A2,3,2026-08-01 08:00:00
259,2,9,165,20,A6,5,2026-08-01 08:00:00
260,2,10,139,20,A2,3,2026-08-01 08:00:00
261,2,11,130,20,A3,3,2026-08-01 08:00:00
262,2,12,61,20,A6,1,2026-08-01 08:00:00
263,2,13,101,20,A3,3,2026-08-01 08:00:00
264,2,14,76,20,A7,5,2026-08-01 08:00:00
265,2,15,75,20,A7,2,2026-08-01 08:00:00
266,2,16,164,20,A3,5,2026-08-01 08:00:00
267,2,17,9,20,A5,2,2026-08-01 08:00:00
268,2,18,87,20,A8,5,2026-08-01 08:00:00
269,2,19,53,20,A1,4,2026-08-01 08:00:00
270,2,20,74,20,A7,5,2026-08-01 08:00:00
271,2,21,169,20,A7,4,2026-08-01 08:00:00
272,2,22,146,20,A8,4,2026-08-01 08:00:00
273,2,23,82,20,A1,2,2026-08-01 08:00:00
274,2,24,5,20,A5,2,2026-08-01 08:00:00
275,2,25,157,20,A8,5,2026-08-01 08:00:00
276,2,26,170,20,A2,3,2026-08-01 08:00:00
277,2,27,179,20,A6,5,2026-08-01 08:00:00
278,2,28,50,20,A8,5,2026-08-01 08:00:00
279,2,29,95,20,A2,2,2026-08-01 08:00:00
280,2,30,116,20,A1,4,2026-08-01 08:00:00
281,2,31,107,20,A2,4,2026-08-01 08:00:00
282,2,32,70,20,A4,2,2026-08-01 08:00:00
283,2,33,129,20,A7,2,2026-08-01 08:00:00
284,2,34,14,20,A4,2,2026-08-01 08:00:00
285,2,35,55,20,A5,5,2026-08-01 08:00:00
286,2,36,177,20,A5,3,2026-08-01 08:00:00
287,2,37,108,20,A2,2,2026-08-01 08:00:00
288,2,38,145,20,A5,2,2026-08-01 08:00:00
289,2,39,73,20,A6,2,2026-08-01 08:00:00
290,2,40,140,20,A5,4,2026-08-01 08:00:00
291,2,41,136,20,A2,4,2026-08-01 08:00:00
292,2,42,171,20,A6,4,2026-08-01 08:00:00
293,2,43,164,20,A1,1,2026-08-01 08:00:00
294,2,44,157,20,A6,1,2026-08-01 08:00:00
295,2,45,176,20,A7,2,2026-08-01 08:00:00
296,2,46,166,20,A5,3,2026-08-01 08:00:00
297,2,47,180,20,A8,3,2026-08-01 08:00:00
298,2,48,52,20,A8,1,2026-08-01 08:00:00
299,2,49,71,20,A3,4,2026-08-01 08:00:00
300,2,50,8,20,A4,2,2026-08-01 08:00:00
301,2,51,4,20,A5,1,2026-08-01 08:00:00
302,2,52,132,20,A6,2,2026-08-01 08:00:00
303,2,53,53,20,A5,2,2026-08-01 08:00:00
304,2,54,149,20,A2,1,2026-08-01 08:00:00
305,2,55,94,20,A3,5,2026-08-01 08:00:00
306,2,56,97,20,A8,1,2026-08-01 08:00:00
307,2,57,42,20,A2,4,2026-08-01 08:00:00
308,2,58,73,20,A4,4,2026-08-01 08:00:00
309,2,59,62,20,A2,1,2026-08-01 08:00:00
310,2,60,120,20,A5,2,2026-08-01 08:00:00
311,2,61,137,20,A3,2,2026-08-01 08:00:00
312,2,62,57,20,A1,5,2026-08-01 08:00:00
313,2,63,82,20,A4,2,2026-08-01 08:00:00
314,2,64,145,20,A8,2,2026-08-01 08:00:00
315,2,65,62,20,A3,1,2026-08-01 08:00:00
316,2,66,138,20,A7,3,2026-08-01 08:00:00
317,2,67,75,20,A2,2,2026-08-01 08:00:00
318,2,68,14,20,A1,3,2026-08-01 08:00:00
319,2,69,92,20,A4,4,2026-08-01 08:00:00
320,2,70,115,20,A4,4,2026-08-01 08:00:00
321,2,71,138,20,A8,5,2026-08-01 08:00:00
322,2,72,58,20,A1,3,2026-08-01 08:00:00
323,2,73,121,20,A7,3,2026-08-01 08:00:00
324,2,74,179,20,A8,1,2026-08-01 08:00:00
325,2,75,44,20,A1,3,2026-08-01 08:00:00
326,2,76,2,20,A7,5,2026-08-01 08:00:00
327,2,77,113,20,A7,4,2026-08-01 08:00:00
328,2,78,142,20,A3,3,2026-08-01 08:00:00
329,2,79,61,20,A4,2,2026-08-01 08:00:00
330,2,80,177,20,A2,3,2026-08-01 08:00:00
331,2,81,151,20,A4,1,2026-08-01 08:00:00
332,2,82,102,20,A7,1,2026-08-01 08:00:00
333,2,83,156,20,A1,3,2026-08-01 08:00:00
334,2,84,84,20,A3,1,2026-08-01 08:00:00
335,2,85,9,20,A6,5,2026-08-01 08:00:00
336,2,86,172,20,A5,2,2026-08-01 08:00:00
337,2,87,135,20,A5,1,2026-08-01 08:00:00
338,2,88,47,20,A7,3,2026-08-01 08:00:00
339,2,89,174,20,A2,4,2026-08-01 08:00:00
340,2,90,156,20,A1,4,2026-08-01 08:00:00
341,2,91,82,20,A5,1,2026-08-01 08:00:00
342,2,92,69,20,A1,1,2026-08-01 08:00:00
343,2,93,43,20,A8,3,2026-08-01 08:00:00
344,2,94,138,20,A3,1,2026-08-01 08:00:00
345,2,95,147,20,A4,4,2026-08-01 08:00:00
346,2,96,121,20,A2,5,2026-08-01 08:00:00
347,2,97,135,20,A1,2,2026-08-01 08:00:00
348,2,98,97,20,A1,4,2026-08-01 08:00:00
349,2,99,57,20,A5,3,2026-08-01 08:00:00
350,2,100,123,20,A8,1,2026-08-01 08:00:00
351,2,101,134,20,A5,5,2026-08-01 08:00:00
352,2,102,9,20,A6,5,2026-08-01 08:00:00
353,2,103,166,20,A4,5,2026-08-01 08:00:00
354,2,104,102,20,A7,1,2026-08-01 08:00:00
355,2,105,99,20,A1,3,2026-08-01 08:00:00
356,2,106,40,20,A7,3,2026-08-01 08:00:00
357,2,107,66,20,A4,4,2026-08-01 08:00:00
358,2,108,165,20,A3,3,2026-08-01 08:00:00
359,2,109,63,20,A4,5,2026-08-01 08:00:00
360,2,110,145,20,A6,4,2026-08-01 08:00:00
361,2,111,61,20,A3,4,2026-08-01 08:00:00
362,2,112,59,20,A1,4,2026-08-01 08:00:00
363,2,113,73,20,A5,3,2026-08-01 08:00:00
364,2,114,140,20,A6,3,2026-08-01 08:00:00
365,2,115,155,20,A2,2,2026-08-01 08:00:00
366,2,116,74,20,A2,2,2026-08-01 08:00:00
367,2,117,67,20,A8,3,2026-08-01 08:00:00
368,2,118,144,20,A6,2,2026-08-01 08:00:00
369,2,119,6,20,A8,3,2026-08-01 08:00:00
370,2,120,70,20,A5,5,2026-08-01 08:00:00
371,2,121,50,20,A6,2,2026-08-01 08:00:00
372,2,122,63,20,A6,4,2026-08-01 08:00:00
373,2,123,171,20,A5,3,2026-08-01 08:00:00
374,2,124,8,20,A8,5,2026-08-01 08:00:00
375,2,125,180,20,A8,1,2026-08-01 08:00:00
376,2,126,75,20,A1,2,2026-08-01 08:00:00
377,2,127,73,20,A7,3,2026-08-01 08:00:00
378,2,128,61,20,A5,1,2026-08-01 08:00:00
379,2,129,45,20,A4,4,2026-08-01 08:00:00
380,2,130,72,20,A6,1,2026-08-01 08:00:00
381,2,131,50,20,A1,2,2026-08-01 08:00:00
382,2,132,150,20,A7,4,2026-08-01 08:00:00
383,2,133,47,20,A7,2,2026-08-01 08:00:00
384,2,134,130,20,A3,3,2026-08-01 08:00:00
385,2,135,111,20,A3,1,2026-08-01 08:00:00
386,2,136,12,20,A5,4,2026-08-01 08:00:00
387,2,137,145,20,A8,1,2026-08-01 08:00:00
388,2,138,62,20,A3,4,2026-08-01 08:00:00
389,2,139,91,20,A4,5,2026-08-01 08:00:00
390,2,140,44,20,A6,4,2026-08-01 08:00:00
391,2,141,179,20,A6,5,2026-08-01 08:00:00
392,2,142,168,20,A5,2,2026-08-01 08:00:00
393,2,143,46,20,A4,1,2026-08-01 08:00:00
394,2,144,111,20,A8,5,2026-08-01 08:00:00
395,2,145,131,20,A4,2,2026-08-01 08:00:00
396,2,146,65,20,A4,3,2026-08-01 08:00:00
397,2,147,176,20,A1,2,2026-08-01 08:00:00
398,2,148,139,20,A3,2,2026-08-01 08:00:00
399,2,149,100,20,A6,5,2026-08-01 08:00:00
400,2,150,47,20,A6,5,2026-08-01 08:00:00
401,2,151,76,20,A4,4,2026-08-01 08:00:00
402,2,152,178,20,A8,1,2026-08-01 08:00:00
403,2,153,2,20,A4,5,2026-08-01 08:00:00
404,2,154,9,20,A1,3,2026-08-01 08:00:00
405,2,155,91,20,A6,2,2026-08-01 08:00:00
406,2,156,122,20,A3,5,2026-08-01 08:00:00
407,2,157,76,20,A6,1,2026-08-01 08:00:00
408,2,158,135,20,A7,5,2026-08-01 08:00:00
409,2,159,65,20,A6,2,2026-08-01 08:00:00
410,2,160,80,20,A7,4,2026-08-01 08:00:00
411,2,161,121,20,A6,2,2026-08-01 08:00:00
412,2,162,84,20,A5,2,2026-08-01 08:00:00
413,2,163,85,20,A7,5,2026-08-01 08:00:00
414,2,164,48,20,A6,5,2026-08-01 08:00:00
415,2,165,96,20,A2,4,2026-08-01 08:00:00
416,2,166,76,20,A2,2,2026-08-01 08:00:00
417,2,167,128,20,A3,1,2026-08-01 08:00:00
418,2,168,125,20,A5,2,2026-08-01 08:00:00
419,2,169,103,20,A6,3,2026-08-01 08:00:00
420,2,170,13,20,A1,1,2026-08-01 08:00:00
421,2,171,138,20,A7,2,2026-08-01 08:00:00
422,2,172,145,20,A7,3,2026-08-01 08:00:00
423,2,173,179,20,A8,5,2026-08-01 08:00:00
424,2,174,97,20,A2,1,2026-08-01 08:00:00
425,2,175,6,20,A2,1,2026-08-01 08:00:00
426,2,176,127,20,A7,2,2026-08-01 08:00:00
427,2,177,59,20,A2,3,2026-08-01 08:00:00
428,2,178,163,20,A7,2,2026-08-01 08:00:00
429,2,179,151,20,A2,3,2026-08-01 08:00:00
430,2,180,92,20,A7,5,2026-08-01 08:00:00
431,2,181,178,20,A5,3,2026-08-01 08:00:00
432,2,182,100,20,A7,5,2026-08-01 08:00:00
433,2,183,180,20,A3,1,2026-08-01 08:00:00
434,2,184,3,20,A5,5,2026-08-01 08:00:00
435,2,185,162,20,A1,2,2026-08-01 08:00:00
436,2,186,83,20,A2,4,2026-08-01 08:00:00
437,2,187,6,20,A7,4,2026-08-01 08:00:00
438,2,188,165,20,A5,1,2026-08-01 08:00:00
439,2,189,179,20,A6,4,2026-08-01 08:00:00
440,2,190,134,20,A1,3,2026-08-01 08:00:00
441,2,191,152,20,A4,3,2026-08-01 08:00:00
442,2,192,55,20,A2,1,2026-08-01 08:00:00
443,2,193,128,20,A7,5,2026-08-01 08:00:00
444,2,194,98,20,A7,5,2026-08-01 08:00:00
445,2,195,147,20,A8,5,2026-08-01 08:00:00
446,2,196,100,20,A2,4,2026-08-01 08:00:00
447,2,197,48,20,A3,1,2026-08-01 08:00:00
448,2,198,154,20,A3,2,2026-08-01 08:00:00
449,2,199,89,20,A7,1,2026-08-01 08:00:00
450,2,200,151,20,A3,5,2026-08-01 08:00:00
451,2,201,106,20,A2,1,2026-08-01 08:00:00
452,2,202,139,20,A6,3,2026-08-01 08:00:00
453,2,203,173,20,A1,5,2026-08-01 08:00:00
454,2,204,14,20,A7,1,2026-08-01 08:00:00
455,2,205,146,20,A2,1,2026-08-01 08:00:00
456,2,206,65,20,A6,4,2026-08-01 08:00:00
457,2,207,107,20,A8,5,2026-08-01 08:00:00
458,2,208,6,20,A7,2,2026-08-01 08:00:00
459,2,209,7,20,A4,1,2026-08-01 08:00:00
460,2,210,161,20,A6,1,2026-08-01 08:00:00
461,2,211,126,20,A5,3,2026-08-01 08:00:00
462,2,212,111,20,A2,2,2026-08-01 08:00:00
463,2,213,74,20,A8,3,2026-08-01 08:00:00
464,2,214,108,20,A2,2,2026-08-01 08:00:00
465,2,215,153,20,A7,4,2026-08-01 08:00:00
466,2,216,172,20,A1,5,2026-08-01 08:00:00
467,2,217,80,20,A7,2,2026-08-01 08:00:00
468,2,218,174,20,A1,2,2026-08-01 08:00:00
469,2,219,89,20,A4,1,2026-08-01 08:00:00
470,2,220,2,20,A6,2,2026-08-01 08:00:00
471,2,221,7,20,A8,5,2026-08-01 08:00:00
472,2,222,141,20,A2,1,2026-08-01 08:00:00
473,2,223,101,20,A8,2,2026-08-01 08:00:00
474,2,224,161,20,A6,3,2026-08-01 08:00:00
475,2,225,81,20,A5,1,2026-08-01 08:00:00
476,2,226,2,20,A3,5,2026-08-01 08:00:00
477,2,227,94,20,A4,2,2026-08-01 08:00:00
478,2,228,108,20,A1,1,2026-08-01 08:00:00
479,2,229,161,20,A3,5,2026-08-01 08:00:00
480,2,230,42,20,A5,3,2026-08-01 08:00:00
481,2,231,148,20,A6,4,2026-08-01 08:00:00
482,2,232,104,20,A5,5,2026-08-01 08:00:00
483,2,233,141,20,A1,5,2026-08-01 08:00:00
484,2,234,135,20,A5,3,2026-08-01 08:00:00
485,2,235,67,20,A6,3,2026-08-01 08:00:00
486,2,236,123,20,A5,3,2026-08-01 08:00:00
487,2,237,88,20,A4,1,2026-08-01 08:00:00
488,2,238,12,20,A6,2,2026-08-01 08:00:00
489,2,239,46,20,A5,3,2026-08-01 08:00:00
490,2,240,147,20,A1,5,2026-08-01 08:00:00
491,2,241,88,20,A4,5,2026-08-01 08:00:00
492,2,242,161,20,A6,5,2026-08-01 08:00:00
493,2,243,116,20,A3,3,2026-08-01 08:00:00
494,2,244,64,20,A5,5,2026-08-01 08:00:00
495,2,245,86,20,A6,1,2026-08-01 08:00:00
496,2,246,96,20,A5,4,2026-08-01 08:00:00
