purchase_order_id,vendor_id,store_id,employee_id,order_date,expected_delivery_date,order_status
165,2,1,18,2026-06-01,2026-06-05,Received
166,9,1,14,2026-06-01,2026-06-05,Received
167,2,1,12,2026-06-01,2026-06-05,Received
168,5,5,83,2026-06-01,2026-06-05,Received
169,4,4,71,2026-06-01,2026-06-05,Received
170,7,1,8,2026-06-01,2026-06-05,Received
171,2,2,26,2026-06-01,2026-06-05,Received
172,5,1,19,2026-06-01,2026-06-05,Received
173,8,4,66,2026-06-01,2026-06-05,Received
174,10,2,32,2026-06-01,2026-06-05,Received
175,10,2,26,2026-06-01,2026-06-05,Received
176,3,5,89,2026-06-01,2026-06-05,Received
177,7,5,84,2026-06-01,2026-06-05,Received
178,9,2,40,2026-06-01,2026-06-05,Received
179,7,3,60,2026-06-01,2026-06-05,Received
180,5,3,45,2026-06-01,2026-06-05,Received
181,3,3,49,2026-06-01,2026-06-05,Received
182,10,1,9,2026-06-01,2026-06-05,Received
183,6,1,8,2026-06-01,2026-06-05,Received
184,7,3,59,2026-06-01,2026-06-05,Received
185,6,1,15,2026-06-01,2026-06-05,Received
186,5,2,36,2026-06-01,2026-06-05,Received
187,4,2,32,2026-06-01,2026-06-05,Received
188,2,3,54,2026-06-01,2026-06-05,Received
189,6,2,25,2026-06-01,2026-06-05,Received
190,2,3,52,2026-06-01,2026-06-05,Received
191,3,5,80,2026-06-01,2026-06-05,Received
192,5,1,18,2026-06-01,2026-06-05,Received
193,1,5,92,2026-06-01,2026-06-05,Received
194,3,3,60,2026-06-01,2026-06-05,Received
195,9,2,26,2026-06-01,2026-06-05,Received
196,10,2,29,2026-06-01,2026-06-05,Received
197,1,5,92,2026-06-01,2026-06-05,Received
198,6,3,52,2026-06-01,2026-06-05,Received
199,9,5,80,2026-06-01,2026-06-05,Received
200,3,3,61,2026-06-01,2026-06-05,Received
