vendor_product_id,vendor_id,product_id,vendor_price,minimum_order_quantity,estimated_delivery_days,is_preferred
189,9,189,7.45,5,3,False
190,10,190,1.95,10,4,True
191,1,191,3.53,10,7,False
192,2,192,4.94,10,3,False
193,3,193,2.42,5,7,False
194,4,194,12.06,12,6,False
195,5,195,5.27,5,3,True
196,6,196,2.96,12,5,False
197,7,197,2.0,5,7,False
198,8,198,13.49,12,3,False
199,9,199,6.6,5,6,False
200,10,200,11.22,12,7,True
201,1,201,10.64,12,3,False
202,2,202,6.82,12,7,False
203,3,203,8.55,12,5,False
204,4,204,10.66,5,6,False
205,5,205,1.65,10,5,True
206,6,206,4.02,12,3,False
207,7,207,3.13,12,2,False
208,8,208,12.01,12,2,False
209,9,209,8.44,12,5,False
210,10,210,7.5,12,2,True
211,1,211,9.23,10,5,False
212,2,212,3.92,5,5,False
213,3,213,2.41,5,3,False
214,4,214,5.09,12,5,False
215,5,215,10.6,10,3,True
216,6,216,8.48,12,2,False
217,7,217,2.0,10,7,False
218,8,218,13.87,5,3,False
219,9,219,8.93,10,4,False
220,10,220,7.32,12,2,True
221,1,221,11.19,12,3,False
222,2,222,9.91,12,7,False
223,3,223,9.37,10,6,False
224,4,224,4.61,10,7,False
225,5,225,0.92,10,2,True
226,6,226,6.96,5,7,False
227,7,227,10.56,5,3,False
228,8,228,2.98,12,6,False
229,9,229,11.43,5,3,False
230,10,230,8.1,10,7,True
231,1,231,5.83,5,7,False
232,2,232,11.95,10,3,False
233,3,233,8.73,10,4,False
234,4,234,11.94,12,3,False
235,5,235,7.09,10,2,True
236,6,236,1.7,10,5,False
237,7,237,12.03,10,5,False
238,8,238,1.67,12,7,False
239,9,239,6.09,5,5,False
240,10,240,4.82,10,5,True
241,1,241,12.73,10,6,False
242,2,242,5.97,12,7,False
243,3,243,1.75,10,5,False
244,4,244,3.97,10,5,False
245,5,245,10.1,10,2,True
246,6,246,2.34,12,5,False
247,7,247,7.67,5,2,False
248,8,248,8.79,12,7,False
249,9,249,3.2,10,5,False
250,10,250,6.88,10,7,True
