product_id,category_id,product_name,brand,unit_size,selling_price,discontinued_status
85,9,Shampoo 85,Brand 11,1 unit,10.37,False
86,10,Long Grain Rice 86,Brand 12,1 unit,23.11,False
87,10,Pasta 87,Brand 13,1 unit,10.91,False
88,10,Coffee 88,Brand 14,1 unit,19.81,False
89,1,Organic Bananas 89,Brand 15,1 unit,17.61,False
90,1,Honeycrisp Apples 90,Brand 1,1 unit,3.2,False
91,2,Whole Milk 91,Brand 2,1 unit,16.51,False
92,2,Greek Yogurt 92,Brand 3,1 unit,9.7,False
93,2,Large Eggs 93,Brand 4,1 unit,9.58,False
94,3,Sourdough Bread 94,Brand 5,1 unit,14.83,False
95,3,Bagels 95,Brand 6,1 unit,10.89,False
96,4,Chicken Breast 96,Brand 7,1 unit,7.8,False
97,4,Ground Beef 97,Brand 8,1 unit,21.59,False
98,5,Frozen Pizza 98,Brand 9,1 unit,24.18,False
99,5,Ice Cream 99,Brand 10,1 unit,15.86,False
100,6,Orange Juice 100,Brand 11,1 unit,5.46,False
101,6,Sparkling Water 101,Brand 12,1 unit,3.87,False
102,7,Potato Chips 102,Brand 13,1 unit,17.26,False
103,7,Chocolate Cookies 103,Brand 14,1 unit,23.09,False
104,8,Paper Towels 104,Brand 15,1 unit,9.14,False
105,8,Dish Soap 105,Brand 1,1 unit,17.09,False
106,9,Toothpaste 106,Brand 2,1 unit,17.23,False
107,9,Shampoo 107,Brand 3,1 unit,4.97,False
108,10,Long Grain Rice 108,Brand 4,1 unit,18.3,False
109,10,Pasta 109,Brand 5,1 unit,3.95,False
110,10,Coffee 110,Brand 6,1 unit,14.86,False
111,1,Organic Bananas 111,Brand 7,1 unit,16.8,False
112,1,Honeycrisp Apples 112,Brand 8,1 unit,9.55,False
113,2,Whole Milk 113,Brand 9,1 unit,4.94,False
114,2,Greek Yogurt 114,Brand 10,1 unit,18.17,False
115,2,Large Eggs 115,Brand 11,1 unit,23.78,False
116,3,Sourdough Bread 116,Brand 12,1 unit,24.93,False
117,3,Bagels 117,Brand 13,1 unit,22.99,False
118,4,Chicken Breast 118,Brand 14,1 unit,4.15,False
119,4,Ground Beef 119,Brand 15,1 unit,17.42,False
120,5,Frozen Pizza 120,Brand 1,1 unit,13.7,False
121,5,Ice Cream 121,Brand 2,1 unit,2.42,False
122,6,Orange Juice 122,Brand 3,1 unit,9.1,False
123,6,Sparkling Water 123,Brand 4,1 unit,23.88,False
124,7,Potato Chips 124,Brand 5,1 unit,9.86,False
125,7,Chocolate Cookies 125,Brand 6,1 unit,19.62,False
126,8,Paper Towels 126,Brand 7,1 unit,6.42,False
127,8,Dish Soap 127,Brand 8,1 unit,25.0,False
128,9,Toothpaste 128,Brand 9,1 unit,5.56,False
129,9,Shampoo 129,Brand 10,1 unit,8.8,False
130,10,Long Grain Rice 130,Brand 11,1 unit,20.13,False
131,10,Pasta 131,Brand 12,1 unit,13.68,False
132,10,Coffee 132,Brand 13,1 unit,14.41,False
133,1,Organic Bananas 133,Brand 14,1 unit,18.99,False
134,1,Honeycrisp Apples 134,Brand 15,1 unit,14.11,False
135,2,Whole Milk 135,Brand 1,1 unit,17.22,False
136,2,Greek Yogurt 136,Brand 2,1 unit,22.16,False
137,2,Large Eggs 137,Brand 3,1 unit,16.21,False
138,3,Sourdough Bread 138,Brand 4,1 unit,15.74,False
139,3,Bagels 139,Brand 5,1 unit,5.55,False
140,4,Chicken Breast 140,Brand 6,1 unit,6.16,False
141,4,Ground Beef 141,Brand 7,1 unit,17.94,False
142,5,Frozen Pizza 142,Brand 8,1 unit,16.37,False
143,5,Ice Cream 143,Brand 9,1 unit,22.76,False
144,6,Orange Juice 144,Brand 10,1 unit,18.59,False
145,6,Sparkling Water 145,Brand 11,1 unit,3.0,False
146,7,Potato Chips 146,Brand 12,1 unit,10.38,False
147,7,Chocolate Cookies 147,Brand 13,1 unit,18.55,False
148,8,Paper Towels 148,Brand 14,1 unit,24.3,False
149,8,Dish Soap 149,Brand 15,1 unit,16.04,False
150,9,Toothpaste 150,Brand 1,1 unit,19.3,False
151,9,Shampoo 151,Brand 2,1 unit,20.03,False
152,10,Long Grain Rice 152,Brand 3,1 unit,7.38,False
153,10,Pasta 153,Brand 4,1 unit,7.5,False
154,10,Coffee 154,Brand 5,1 unit,24.21,False
155,1,Organic Bananas 155,Brand 6,1 unit,20.04,False
156,1,Honeycrisp Apples 156,Brand 7,1 unit,22.79,False
157,2,Whole Milk 157,Brand 8,1 unit,6.46,False
158,2,Greek Yogurt 158,Brand 9,1 unit,17.6,False
159,2,Large Eggs 159,Brand 10,1 unit,15.12,False
160,3,Sourdough Bread 160,Brand 11,1 unit,12.13,False
161,3,Bagels 161,Brand 12,1 unit,19.7,False
162,4,Chicken Breast 162,Brand 13,1 unit,19.9,False
163,4,Ground Beef 163,Brand 14,1 unit,13.57,False
164,5,Frozen Pizza 164,Brand 15,1 unit,11.63,False
165,5,Ice Cream 165,Brand 1,1 unit,5.73,False
166,6,Orange Juice 166,Brand 2,1 unit,6.59,False
167,6,Sparkling Water 167,Brand 3,1 unit,15.91,False
168,7,Potato Chips 168,Brand 4,1 unit,22.08,False
169,7,Chocolate Cookies 169,Brand 5,1 unit,3.2,False
170,8,Paper Towels 170,Brand 6,1 unit,13.05,False
171,8,Dish Soap 171,Brand 7,1 unit,10.54,False
172,9,Toothpaste 172,Brand 8,1 unit,23.49,False
173,9,Shampoo 173,Brand 9,1 unit,18.36,False
174,10,Long Grain Rice 174,Brand 10,1 unit,13.87,False
175,10,Pasta 175,Brand 11,1 unit,4.87,False
176,10,Coffee 176,Brand 12,1 unit,3.93,False
177,1,Organic Bananas 177,Brand 13,1 unit,5.69,False
178,1,Honeycrisp Apples 178,Brand 14,1 unit,12.33,False
179,2,Whole Milk 179,Brand 15,1 unit,13.81,False
180,2,Greek Yogurt 180,Brand 1,1 unit,21.11,False
181,2,Large Eggs 181,Brand 2,1 unit,4.11,False
182,3,Sourdough Bread 182,Brand 3,1 unit,22.94,False
183,3,Bagels 183,Brand 4,1 unit,20.78,False
184,4,Chicken Breast 184,Brand 5,1 unit,22.35,False
185,4,Ground Beef 185,Brand 6,1 unit,23.4,False
186,5,Frozen Pizza 186,Brand 7,1 unit,11.54,False
187,5,Ice Cream 187,Brand 8,1 unit,11.12,False
188,6,Orange Juice 188,Brand 9,1 unit,10.6,False
189,6,Sparkling Water 189,Brand 10,1 unit,10.88,False
190,7,Potato Chips 190,Brand 11,1 unit,3.88,False
191,7,Chocolate Cookies 191,Brand 12,1 unit,7.16,False
192,8,Paper Towels 192,Brand 13,1 unit,9.33,False
193,8,Dish Soap 193,Brand 14,1 unit,4.28,False
194,9,Toothpaste 194,Brand 15,1 unit,18.44,False
195,9,Shampoo 195,Brand 1,1 unit,9.71,False
196,10,Long Grain Rice 196,Brand 2,1 unit,5.36,False
197,10,Pasta 197,Brand 3,1 unit,2.88,False
198,10,Coffee 198,Brand 4,1 unit,23.1,False
199,1,Organic Bananas 199,Brand 5,1 unit,12.87,False
200,1,Honeycrisp Apples 200,Brand 6,1 unit,21.12,False
201,2,Whole Milk 201,Brand 7,1 unit,19.45,False
202,2,Greek Yogurt 202,Brand 8,1 unit,12.79,False
203,2,Large Eggs 203,Brand 9,1 unit,16.15,False
204,3,Sourdough Bread 204,Brand 10,1 unit,22.83,False
205,3,Bagels 205,Brand 11,1 unit,2.44,False
206,4,Chicken Breast 206,Brand 12,1 unit,6.96,False
207,4,Ground Beef 207,Brand 13,1 unit,5.44,False
208,5,Frozen Pizza 208,Brand 14,1 unit,23.63,False
209,5,Ice Cream 209,Brand 15,1 unit,16.0,False
210,6,Orange Juice 210,Brand 1,1 unit,11.73,False
211,6,Sparkling Water 211,Brand 2,1 unit,19.85,False
212,7,Potato Chips 212,Brand 3,1 unit,7.47,False
213,7,Chocolate Cookies 213,Brand 4,1 unit,4.8,False
214,8,Paper Towels 214,Brand 5,1 unit,7.48,False
215,8,Dish Soap 215,Brand 6,1 unit,16.7,False
216,9,Toothpaste 216,Brand 7,1 unit,16.32,False
217,9,Shampoo 217,Brand 8,1 unit,3.44,False
218,10,Long Grain Rice 218,Brand 9,1 unit,21.24,False
219,10,Pasta 219,Brand 10,1 unit,13.5,False
220,10,Coffee 220,Brand 11,1 unit,14.33,False
221,1,Organic Bananas 221,Brand 12,1 unit,16.53,False
222,1,Honeycrisp Apples 222,Brand 13,1 unit,15.23,False
223,2,Whole Milk 223,Brand 14,1 unit,18.53,False
224,2,Greek Yogurt 224,Brand 15,1 unit,8.7,False
225,2,Large Eggs 225,Brand 1,1 unit,2.04,False
226,3,Sourdough Bread 226,Brand 2,1 unit,10.11,False
227,3,Bagels 227,Brand 3,1 unit,15.13,False
228,4,Chicken Breast 228,Brand 4,1 unit,6.31,False
229,4,Ground Beef 229,Brand 5,1 unit,17.37,False
230,5,Frozen Pizza 230,Brand 6,1 unit,14.04,False
231,5,Ice Cream 231,Brand 7,1 unit,10.29,False
232,6,Orange Juice 232,Brand 8,1 unit,23.93,False
233,6,Sparkling Water 233,Brand 9,1 unit,14.51,False
234,7,Potato Chips 234,Brand 10,1 unit,20.09,False
235,7,Chocolate Cookies 235,Brand 11,1 unit,13.68,False
236,8,Paper Towels 236,Brand 12,1 unit,2.47,False
237,8,Dish Soap 237,Brand 13,1 unit,22.09,False
238,9,Toothpaste 238,Brand 14,1 unit,3.0,False
239,9,Shampoo 239,Brand 15,1 unit,10.9,False
240,10,Long Grain Rice 240,Brand 1,1 unit,10.59,False
241,10,Pasta 241,Brand 2,1 unit,19.19,False
242,10,Coffee 242,Brand 3,1 unit,10.21,False
243,1,Organic Bananas 243,Brand 4,1 unit,3.55,False
244,1,Honeycrisp Apples 244,Brand 5,1 unit,7.55,False
245,2,Whole Milk 245,Brand 6,1 unit,17.11,False
246,2,Greek Yogurt 246,Brand 7,1 unit,4.38,False
247,2,Large Eggs 247,Brand 8,1 unit,15.38,False
248,3,Sourdough Bread 248,Brand 9,1 unit,19.4,False
249,3,Bagels 249,Brand 10,1 unit,5.07,False
250,4,Chicken Breast 250,Brand 11,1 unit,10.1,False
