purchase_order_item_id,purchase_order_id,product_id,quantity_ordered,unit_cost,quantity_received
202,41,44,28,17.13,28
203,41,58,12,5.97,12
204,41,12,50,5.74,50
205,41,137,19,7.32,19
206,42,242,27,5.97,27
207,42,227,60,10.56,60
208,42,72,13,8.29,13
209,42,238,51,1.67,51
210,42,35,25,1.89,25
211,43,211,51,9.23,51
212,43,54,32,2.49,32
213,43,137,50,7.32,50
214,43,30,48,2.72,48
215,43,1,33,8.07,33
216,44,84,45,8.98,45
217,44,22,26,8.87,26
218,44,243,56,1.75,56
219,44,181,18,1.87,18
220,44,227,36,10.56,36
221,45,230,50,8.1,50
222,45,157,10,3.72,10
223,45,76,32,14.54,32
224,45,84,24,8.98,24
225,45,15,56,6.47,56
226,46,248,11,8.79,11
227,46,72,44,8.29,44
228,46,46,52,15.32,52
229,46,66,59,10.39,59
230,46,249,59,3.2,59
231,47,150,34,12.94,34
232,47,28,51,9.02,51
233,47,185,26,14.77,26
234,47,191,50,3.53,50
235,47,177,50,3.54,50
236,48,155,24,11.55,24
237,48,142,30,7.74,30
238,48,53,27,4.97,27
239,48,210,23,7.5,23
240,48,114,47,8.87,47
241,49,162,19,12.48,19
242,49,207,38,3.13,38
243,49,220,24,7.32,24
244,49,193,56,2.42,56
245,49,102,56,11.04,56
246,50,112,15,5.01,15
247,50,95,41,7.0,41
248,50,38,21,6.89,21
249,50,231,39,5.83,39
250,50,123,21,13.66,21
251,51,209,41,8.44,41
252,51,221,56,11.19,56
253,51,46,21,15.32,21
254,51,49,51,5.82,51
255,51,146,28,5.79,28
256,52,6,35,12.31,35
257,52,80,53,1.68,53
258,52,42,48,12.48,48
259,52,227,22,10.56,22
260,52,46,14,15.32,14
261,53,37,51,10.42,51
262,53,19,35,3.97,35
263,53,110,16,7.52,16
264,53,63,56,7.5,56
265,53,117,43,11.52,43
266,54,36,48,14.47,48
267,54,187,16,6.57,16
268,54,193,34,2.42,34
269,54,207,34,3.13,34
270,54,4,11,5.11,11
271,55,29,51,3.37,51
272,55,212,12,3.92,12
273,55,4,18,5.11,18
274,55,196,25,2.96,25
275,55,213,59,2.41,59
276,56,22,48,8.87,48
277,56,69,10,8.81,10
278,56,37,60,10.42,60
279,56,241,10,12.73,10
280,56,161,60,9.05,60
281,57,28,55,9.02,55
282,57,139,15,3.62,15
283,57,189,22,7.45,22
284,57,210,18,7.5,18
285,57,87,40,6.67,40
286,58,195,20,5.27,20
287,58,145,29,1.54,29
288,58,229,31,11.43,31
289,58,114,40,8.87,40
290,58,209,19,8.44,19
291,59,63,50,7.5,50
292,59,15,44,6.47,44
293,59,140,17,4.17,17
294,59,178,11,7.39,11
295,59,69,12,8.81,12
296,60,27,36,14.67,36
297,60,140,19,4.17,19
298,60,76,10,14.54,10
299,60,131,24,6.39,24
300,60,227,11,10.56,11
301,61,59,51,10.78,51
302,61,110,28,7.52,28
303,61,99,24,10.57,24
304,61,38,53,6.89,53
305,61,91,34,8.68,34
306,62,176,17,2.47,17
307,62,227,41,10.56,41
308,62,184,20,14.51,20
309,62,211,17,9.23,17
310,62,231,24,5.83,24
311,63,27,49,14.67,49
312,63,245,31,10.1,31
313,63,73,17,16.19,17
314,63,92,33,4.83,33
315,63,20,15,10.51,15
316,64,230,37,8.1,37
317,64,12,43,5.74,43
318,64,155,31,11.55,31
319,64,39,48,9.83,48
320,64,46,21,15.32,21
321,65,174,53,7.77,53
322,65,109,29,2.58,29
323,65,39,49,9.83,49
324,65,229,28,11.43,28
325,65,171,32,5.46,32
326,66,225,52,0.92,52
327,66,27,33,14.67,33
328,66,70,26,4.36,26
329,66,235,55,7.09,55
330,66,128,14,2.96,14
331,67,202,59,6.82,59
332,67,1,51,8.07,51
333,67,221,19,11.19,19
334,67,239,30,6.09,30
335,67,39,19,9.83,19
336,68,100,40,3.44,40
337,68,115,14,14.45,14
338,68,185,17,14.77,17
339,68,204,46,10.66,46
340,68,202,37,6.82,37
341,69,246,30,2.34,30
342,69,187,18,6.57,18
343,69,72,21,8.29,21
344,69,38,59,6.89,59
345,69,24,34,3.14,34
346,70,91,54,8.68,54
347,70,82,36,13.43,36
348,70,127,48,13.55,48
349,70,109,60,2.58,60
350,70,124,50,4.61,50
351,71,86,25,15.27,25
352,71,36,34,14.47,34
353,71,206,36,4.02,36
354,71,242,45,5.97,45
355,71,168,41,10.49,41
356,72,138,34,7.33,34
357,72,137,15,7.32,15
358,72,127,47,13.55,47
359,72,211,55,9.23,55
360,72,59,36,10.78,36
361,73,135,57,10.28,57
362,73,148,24,13.33,24
363,73,199,54,6.6,54
364,73,178,15,7.39,15
365,73,208,25,12.01,25
366,74,93,33,6.7,33
367,74,1,45,8.07,45
368,74,53,40,4.97,40
369,74,218,18,13.87,18
370,74,5,17,6.23,17
371,75,16,59,2.17,59
372,75,234,18,11.94,18
373,75,90,28,1.6,28
374,75,93,39,6.7,39
375,75,218,19,13.87,19
376,76,214,36,5.09,36
377,76,219,25,8.93,25
378,76,142,23,7.74,23
379,76,249,24,3.2,24
380,76,239,13,6.09,13
381,77,192,55,4.94,55
382,77,36,19,14.47,19
383,77,31,34,5.45,34
384,77,247,56,7.67,56
385,77,179,11,8.86,11
386,78,179,54,8.86,54
387,78,248,16,8.79,16
388,78,109,52,2.58,52
389,78,96,47,5.04,47
390,78,14,14,8.13,14
391,79,123,11,13.66,11
392,79,215,19,10.6,19
393,79,153,33,4.15,33
394,79,223,19,9.37,19
395,79,41,15,10.4,15
396,80,63,36,7.5,36
397,80,20,19,10.51,19
398,80,4,58,5.11,58
399,80,146,21,5.79,21
400,80,213,40,2.41,40
401,81,191,29,3.53,29
402,81,36,40,14.47,40
403,81,192,36,4.94,36
404,81,136,56,13.77,56
405,81,179,31,8.86,31
406,82,114,28,8.87,28
407,82,201,17,10.64,17
408,82,166,19,3.2,19
409,82,178,13,7.39,13
410,82,4,51,5.11,51
411,83,9,20,7.61,20
412,83,155,10,11.55,10
413,83,193,35,2.42,35
414,83,45,37,4.91,37
415,83,129,53,4.31,53
416,84,243,26,1.75,26
417,84,225,46,0.92,46
418,84,117,42,11.52,42
419,84,142,29,7.74,29
420,84,183,55,12.83,55
421,85,59,15,10.78,15
422,85,109,43,2.58,43
423,85,239,34,6.09,34
424,85,41,18,10.4,18
425,85,70,57,4.36,57
426,86,55,35,6.05,35
427,86,103,21,12.36,21
428,86,159,57,9.64,57
429,86,15,45,6.47,45
430,86,57,48,5.7,48
431,87,216,40,8.48,40
432,87,20,30,10.51,30
433,87,210,51,7.5,51
434,87,178,51,7.39,51
435,87,120,35,8.35,35
436,88,212,33,3.92,33
437,88,98,51,13.73,51
438,88,43,37,11.39,37
439,88,14,22,8.13,22
440,88,206,27,4.02,27
441,89,28,59,9.02,59
442,89,27,31,14.67,31
443,89,20,11,10.51,11
444,89,93,25,6.7,25
445,89,155,28,11.55,28
446,90,42,48,12.48,48
447,90,139,10,3.62,10
448,90,28,58,9.02,58
449,90,17,29,10.93,29
450,90,55,22,6.05,22
451,91,142,25,7.74,25
452,91,52,27,7.96,27
453,91,164,15,6.57,15
454,91,238,46,1.67,46
455,91,9,46,7.61,46
456,92,12,30,5.74,30
457,92,145,15,1.54,15
458,92,203,29,8.55,29
459,92,124,10,4.61,10
460,92,13,32,2.78,32
461,93,193,22,2.42,22
462,93,73,30,16.19,30
463,93,246,58,2.34,58
464,93,102,35,11.04,35
465,93,129,56,4.31,56
466,94,92,16,4.83,16
467,94,250,31,6.88,31
468,94,34,36,9.82,36
469,94,180,57,14.3,57
470,94,173,42,12.36,42
471,95,26,11,5.6,11
472,95,129,47,4.31,47
473,95,207,60,3.13,60
474,95,199,34,6.6,34
475,95,39,40,9.83,40
476,96,151,20,12.35,20
477,96,223,19,9.37,19
478,96,219,53,8.93,53
479,96,10,39,12.22,39
480,96,75,15,13.88,15
481,97,227,24,10.56,24
482,97,161,23,9.05,23
483,97,24,53,3.14,53
484,97,244,51,3.97,51
485,97,184,19,14.51,19
486,98,197,43,2.0,43
487,98,184,56,14.51,56
488,98,42,48,12.48,48
489,98,247,51,7.67,51
490,98,129,43,4.31,43
491,99,239,18,6.09,18
492,99,197,31,2.0,31
493,99,88,28,9.4,28
494,99,115,33,14.45,33
495,99,202,49,6.82,49
496,100,220,55,7.32,55
497,100,241,59,12.73,59
498,100,111,53,10.72,53
499,100,11,34,5.98,34
500,100,229,25,11.43,25
501,101,54,19,2.49,19
502,101,157,46,3.72,46
503,101,156,50,12.82,50
504,101,20,41,10.51,41
505,101,246,16,2.34,16
506,102,207,29,3.13,29
507,102,4,45,5.11,45
508,102,37,60,10.42,60
509,102,197,15,2.0,15
510,102,223,41,9.37,41
511,103,25,28,13.0,28
512,103,117,20,11.52,20
513,103,81,14,10.29,14
514,103,44,27,17.13,27
515,103,240,46,4.82,46
516,104,94,55,8.69,55
517,104,91,59,8.68,59
518,104,23,39,8.23,39
519,104,19,26,3.97,26
520,104,46,40,15.32,40
521,105,66,18,10.39,18
522,105,196,17,2.96,17
523,105,225,46,0.92,46
524,105,114,41,8.87,41
525,105,167,12,7.84,12
526,106,94,49,8.69,49
527,106,220,53,7.32,53
528,106,74,18,6.79,18
529,106,103,38,12.36,38
530,106,105,33,9.48,33
531,107,132,33,9.62,33
532,107,217,15,2.0,15
533,107,160,53,7.72,53
534,107,244,36,3.97,36
535,107,81,42,10.29,42
536,108,116,49,14.8,49
537,108,68,51,11.33,51
538,108,225,13,0.92,13
539,108,175,57,3.18,57
540,108,11,60,5.98,60
541,109,63,19,7.5,19
542,109,180,16,14.3,16
543,109,211,28,9.23,28
544,109,144,34,10.18,34
545,109,3,20,7.8,20
546,110,146,34,5.79,34
547,110,103,39,12.36,39
548,110,219,52,8.93,52
549,110,19,15,3.97,15
550,110,58,32,5.97,32
551,111,120,39,8.35,39
552,111,165,16,3.52,16
553,111,137,15,7.32,15
554,111,231,21,5.83,21
555,111,210,56,7.5,56
556,112,28,59,9.02,59
557,112,235,37,7.09,37
558,112,246,22,2.34,22
559,112,237,35,12.03,35
560,112,102,31,11.04,31
561,113,17,23,10.93,23
562,113,82,54,13.43,54
563,113,88,57,9.4,57
564,113,155,40,11.55,40
565,113,125,17,9.84,17
566,114,72,40,8.29,40
567,114,117,19,11.52,19
568,114,10,50,12.22,50
569,114,140,23,4.17,23
570,114,40,30,6.94,30
571,115,146,13,5.79,13
572,115,9,33,7.61,33
573,115,154,60,16.92,60
574,115,199,37,6.6,37
575,115,98,40,13.73,40
576,116,55,58,6.05,58
577,116,14,53,8.13,53
578,116,223,37,9.37,37
579,116,6,27,12.31,27
580,116,244,26,3.97,26
581,117,163,27,8.38,27
582,117,46,35,15.32,35
583,117,22,15,8.87,15
584,117,37,29,10.42,29
585,117,18,55,8.91,55
586,118,116,52,14.8,52
587,118,224,26,4.61,26
588,118,108,21,12.55,21
589,118,135,13,10.28,13
590,118,55,15,6.05,15
591,119,230,58,8.1,58
592,119,231,29,5.83,29
593,119,110,20,7.52,20
594,119,88,22,9.4,22
595,119,247,32,7.67,32
596,120,242,54,5.97,54
597,120,108,60,12.55,60
598,120,124,20,4.61,20
599,120,122,54,4.5,54
600,120,138,37,7.33,37
601,121,91,10,8.68,10
602,121,234,45,11.94,45
603,121,178,60,7.39,60
604,121,147,48,9.2,48
605,121,100,22,3.44,22
606,122,20,19,10.51,19
607,122,186,30,6.67,30
608,122,171,52,5.46,52
609,122,149,56,10.77,56
610,122,158,57,8.24,57
611,123,212,19,3.92,19
612,123,189,39,7.45,39
613,123,188,19,5.32,19
614,123,82,41,13.43,41
615,123,4,30,5.11,30
616,124,30,26,2.72,26
617,124,203,43,8.55,43
618,124,249,56,3.2,56
619,124,173,10,12.36,10
620,124,105,38,9.48,38
621,125,242,38,5.97,38
622,125,214,50,5.09,50
623,125,220,47,7.32,47
624,125,33,16,3.11,16
625,125,163,12,8.38,12
626,126,56,44,1.42,44
627,126,191,59,3.53,59
628,126,49,20,5.82,20
629,126,108,48,12.55,48
630,126,179,34,8.86,34
631,127,56,53,1.42,53
632,127,90,46,1.6,46
633,127,54,10,2.49,10
634,127,244,33,3.97,33
635,127,49,33,5.82,33
636,128,5,17,6.23,17
637,128,78,54,2.06,54
638,128,230,41,8.1,41
639,128,79,51,8.56,51
640,128,129,39,4.31,39
641,129,106,43,11.43,43
642,129,91,58,8.68,58
643,129,213,31,2.41,31
644,129,139,17,3.62,17
645,129,110,21,7.52,21
646,130,118,48,2.42,48
647,130,110,20,7.52,20
648,130,96,44,5.04,44
649,130,46,37,15.32,37
650,130,142,34,7.74,34
651,131,73,37,16.19,37
652,131,217,50,2.0,50
653,131,169,28,1.87,28
654,131,177,54,3.54,54
655,131,175,49,3.18,49
656,132,241,15,12.73,15
657,132,237,16,12.03,16
658,132,232,15,11.95,15
659,132,220,51,7.32,51
660,132,26,11,5.6,11
661,133,158,57,8.24,57
662,133,239,58,6.09,58
663,133,106,49,11.43,49
664,133,27,44,14.67,44
665,133,128,16,2.96,16
666,134,163,12,8.38,12
667,134,114,52,8.87,52
668,134,129,28,4.31,28
669,134,149,36,10.77,36
670,134,207,23,3.13,23
671,135,58,17,5.97,17
672,135,199,22,6.6,22
673,135,117,40,11.52,40
674,135,142,17,7.74,17
675,135,98,32,13.73,32
676,136,248,51,8.79,51
677,136,204,55,10.66,55
678,136,234,60,11.94,60
679,136,119,57,8.31,57
680,136,106,35,11.43,35
681,137,2,42,5.94,42
682,137,241,28,12.73,28
683,137,96,27,5.04,27
684,137,201,52,10.64,52
685,137,58,26,5.97,26
686,138,79,36,8.56,36
687,138,215,53,10.6,53
688,138,232,25,11.95,25
689,138,204,10,10.66,10
690,138,233,36,8.73,36
691,139,9,33,7.61,33
692,139,4,43,5.11,43
693,139,7,57,3.61,57
694,139,40,48,6.94,48
695,139,203,30,8.55,30
696,140,86,25,15.27,25
697,140,44,45,17.13,45
698,140,246,35,2.34,35
699,140,147,22,9.2,22
700,140,111,49,10.72,49
701,141,165,46,3.52,46
702,141,101,37,1.97,37
703,141,213,18,2.41,18
704,141,14,50,8.13,50
705,141,206,34,4.02,34
706,142,187,43,6.57,43
707,142,45,20,4.91,20
708,142,104,37,6.05,37
709,142,232,24,11.95,24
710,142,82,16,13.43,16
711,143,182,50,12.26,50
712,143,206,46,4.02,46
713,143,33,60,3.11,60
714,143,130,35,11.76,35
715,143,31,58,5.45,58
716,144,161,20,9.05,20
717,144,235,30,7.09,30
718,144,67,23,1.6,23
719,144,215,15,10.6,15
720,144,142,15,7.74,15
721,145,7,47,3.61,47
722,145,112,19,5.01,19
723,145,3,11,7.8,11
724,145,161,49,9.05,49
725,145,198,55,13.49,55
726,146,140,34,4.17,34
727,146,236,11,1.7,11
728,146,249,57,3.2,57
729,146,21,56,1.83,56
730,146,147,18,9.2,18
731,147,117,21,11.52,21
732,147,163,25,8.38,25
733,147,162,51,12.48,51
734,147,200,24,11.22,24
735,147,92,29,4.83,29
736,148,50,59,9.0,59
737,148,138,60,7.33,60
738,148,216,34,8.48,34
739,148,63,59,7.5,59
740,148,186,26,6.67,26
741,149,169,19,1.87,19
742,149,14,50,8.13,50
743,149,71,11,9.48,11
744,149,22,50,8.87,50
745,149,240,47,4.82,47
746,150,222,48,9.91,48
747,150,27,17,14.67,17
748,150,29,16,3.37,16
749,150,118,19,2.42,19
750,150,238,28,1.67,28
751,151,68,41,11.33,41
752,151,230,33,8.1,33
753,151,47,23,4.74,23
754,151,24,35,3.14,35
755,151,20,16,10.51,16
756,152,126,41,3.73,41
757,152,204,50,10.66,50
758,152,6,14,12.31,14
759,152,106,23,11.43,23
760,152,19,53,3.97,53
761,153,108,38,12.55,38
762,153,97,20,14.15,20
763,153,228,21,2.98,21
764,153,81,29,10.29,29
765,153,163,10,8.38,10
766,154,232,48,11.95,48
767,154,46,12,15.32,12
768,154,169,17,1.87,17
769,154,146,31,5.79,31
770,154,162,32,12.48,32
771,155,124,20,4.61,20
772,155,158,43,8.24,43
773,155,154,57,16.92,57
774,155,140,26,4.17,26
775,155,2,17,5.94,17
776,156,50,43,9.0,43
777,156,156,42,12.82,42
778,156,8,58,13.47,58
779,156,138,19,7.33,19
780,156,6,23,12.31,23
781,157,222,11,9.91,11
782,157,94,30,8.69,30
783,157,30,18,2.72,18
784,157,231,24,5.83,24
785,157,56,15,1.42,15
786,158,187,27,6.57,27
787,158,178,40,7.39,40
788,158,241,22,12.73,22
789,158,33,15,3.11,15
790,158,69,32,8.81,32
791,159,182,57,12.26,57
792,159,142,41,7.74,41
793,159,167,37,7.84,37
794,159,76,42,14.54,42
795,159,120,35,8.35,35
796,160,237,53,12.03,53
797,160,50,55,9.0,55
798,160,65,27,14.46,27
799,160,45,35,4.91,35
800,160,51,16,13.9,16
801,161,150,20,12.94,20
802,161,204,60,10.66,60
803,161,197,23,2.0,23
804,161,151,56,12.35,56
805,161,80,41,1.68,41
806,162,111,57,10.72,57
807,162,227,27,10.56,27
808,162,115,30,14.45,30
809,162,109,49,2.58,49
810,162,153,16,4.15,16
811,163,156,32,12.82,32
812,163,99,33,10.57,33
813,163,110,50,7.52,50
814,163,52,14,7.96,14
815,163,146,38,5.79,38
816,164,43,26,11.39,26
817,164,228,47,2.98,47
818,164,9,36,7.61,36
819,164,246,28,2.34,28
820,164,131,48,6.39,48
821,165,212,43,3.92,43
822,165,225,32,0.92,32
823,165,166,35,3.2,35
824,165,244,11,3.97,11
825,165,248,17,8.79,17
826,166,47,21,4.74,21
827,166,208,32,12.01,32
828,166,83,25,7.28,25
829,166,110,14,7.52,14
830,166,203,23,8.55,23
831,167,169,17,1.87,17
832,167,96,10,5.04,10
833,167,38,30,6.89,30
834,167,200,54,11.22,54
835,167,81,10,10.29,10
836,168,184,60,14.51,60
837,168,85,30,4.86,30
838,168,55,24,6.05,24
839,168,120,45,8.35,45
840,168,146,14,5.79,14
841,169,99,23,10.57,23
842,169,73,16,16.19,16
843,169,155,45,11.55,45
844,169,55,27,6.05,27
845,169,135,55,10.28,55
846,170,156,52,12.82,52
847,170,243,14,1.75,14
848,170,227,46,10.56,46
849,170,207,51,3.13,51
850,170,221,36,11.19,36
851,171,175,30,3.18,30
852,171,194,22,12.06,22
853,171,112,22,5.01,22
854,171,82,13,13.43,13
855,171,209,41,8.44,41
856,172,128,17,2.96,17
857,172,12,38,5.74,38
858,172,71,20,9.48,20
859,172,108,48,12.55,48
860,172,31,30,5.45,30
861,173,152,28,4.66,28
862,173,99,11,10.57,11
863,173,61,51,2.17,51
864,173,148,60,13.33,60
865,173,6,46,12.31,46
866,174,2,35,5.94,35
867,174,234,12,11.94,12
868,174,119,44,8.31,44
869,174,73,43,16.19,43
870,174,34,12,9.82,12
871,175,87,16,6.67,16
872,175,166,36,3.2,36
873,175,5,56,6.23,56
874,175,18,29,8.91,29
875,175,121,27,1.19,27
876,176,82,45,13.43,45
877,176,193,59,2.42,59
878,176,89,30,8.09,30
879,176,103,41,12.36,41
880,176,21,49,1.83,49
881,177,13,41,2.78,41
882,177,101,51,1.97,51
883,177,77,17,14.45,17
884,177,179,33,8.86,33
885,177,117,49,11.52,49
886,178,27,10,14.67,10
887,178,8,18,13.47,18
888,178,58,16,5.97,16
889,178,13,30,2.78,30
890,178,212,54,3.92,54
891,179,186,22,6.67,22
892,179,112,56,5.01,56
893,179,58,33,5.97,33
894,179,44,44,17.13,44
895,179,23,10,8.23,10
896,180,240,60,4.82,60
897,180,177,12,3.54,12
898,180,223,17,9.37,17
899,180,14,13,8.13,13
900,180,67,29,1.6,29
901,181,20,60,10.51,60
902,181,68,34,11.33,34
903,181,85,27,4.86,27
904,181,177,54,3.54,54
905,181,157,20,3.72,20
906,182,237,18,12.03,18
907,182,36,30,14.47,30
908,182,150,19,12.94,19
909,182,118,58,2.42,58
910,182,31,47,5.45,47
911,183,228,50,2.98,50
912,183,218,38,13.87,38
913,183,248,52,8.79,52
914,183,230,17,8.1,17
915,183,106,43,11.43,43
916,184,136,41,13.77,41
917,184,62,27,10.16,27
918,184,148,30,13.33,30
919,184,123,59,13.66,59
920,184,170,56,6.13,56
921,185,124,28,4.61,28
922,185,58,55,5.97,55
923,185,24,15,3.14,15
924,185,68,32,11.33,32
925,185,197,45,2.0,45
926,186,214,57,5.09,57
927,186,224,23,4.61,23
928,186,63,54,7.5,54
929,186,169,14,1.87,14
930,186,166,14,3.2,14
931,187,249,52,3.2,52
932,187,127,23,13.55,23
933,187,16,39,2.17,39
934,187,55,34,6.05,34
935,187,4,22,5.11,22
936,188,125,47,9.84,47
937,188,27,58,14.67,58
938,188,88,43,9.4,43
939,188,54,42,2.49,42
940,188,209,30,8.44,30
941,189,195,51,5.27,51
942,189,242,19,5.97,19
943,189,80,42,1.68,42
944,189,182,16,12.26,16
945,189,117,18,11.52,18
946,190,57,38,5.7,38
947,190,235,49,7.09,49
948,190,94,42,8.69,42
949,190,99,22,10.57,22
950,190,250,59,6.88,59
951,191,103,20,12.36,20
952,191,49,53,5.82,53
953,191,18,29,8.91,29
954,191,72,46,8.29,46
955,191,109,51,2.58,51
956,192,27,57,14.67,57
957,192,38,17,6.89,17
958,192,119,25,8.31,25
959,192,225,11,0.92,11
960,192,28,39,9.02,39
961,193,48,43,5.98,43
962,193,69,38,8.81,38
963,193,8,32,13.47,32
964,193,122,26,4.5,26
965,193,170,17,6.13,17
966,194,238,23,1.67,23
967,194,141,19,10.15,19
968,194,22,35,8.87,35
969,194,91,42,8.68,42
970,194,111,37,10.72,37
971,195,131,33,6.39,33
972,195,86,16,15.27,16
973,195,14,13,8.13,13
974,195,113,51,2.92,51
975,195,70,34,4.36,34
976,196,188,22,5.32,22
977,196,238,35,1.67,35
978,196,109,21,2.58,21
979,196,50,48,9.0,48
980,196,76,27,14.54,27
981,197,136,16,13.77,16
982,197,156,53,12.82,53
983,197,127,13,13.55,13
984,197,133,51,12.43,51
985,197,111,25,10.72,25
986,198,246,12,2.34,12
987,198,29,46,3.37,46
988,198,57,27,5.7,27
989,198,30,25,2.72,25
990,198,14,14,8.13,14
991,199,137,49,7.32,49
992,199,26,54,5.6,54
993,199,71,55,9.48,55
994,199,58,35,5.97,35
